고유번호,업소명,대분류,중분류,개업일,상태
398,한국관황진이포장,부산,부산진구,20180219,영업/정상
399,블랙노래클럽,제주,제주시,20180214,영업/정상
400,가왕,인천,남동구,20180214,영업/정상
401,썸,경기도,평택시,20180214,영업/정상
402,뽕노래타운,전남,여수시,20180214,영업/정상
403,갤럭시,전북,군산시,20180214,영업/정상
404,불청노래짱,경기도,성남시,20180214,영업/정상
405,파티노래바,서울,은평구,20180213,영업/정상
406,버닝썬,서울,강남구,20180213,영업/정상
407,서민노래주점,경남,김해시,20180212,영업/정상
408,VIP,경남,김해시,20180212,영업/정상
409,애플,서울,구로구,20180209,영업/정상
410,두바이,서울,강서구,20180209,영업/정상
411,춘자클럽,서울,강서구,20180209,영업/정상
412,발리 룸,서울,강서구,20180209,영업/정상
413,자전거노래타운,부산,동래구,20180208,영업/정상
414,킹노래광장,경기도,화성시,20180207,영업/정상
415,포에버,서울,강남구,20180206,영업/정상
416,호박라이브,경남,거제시,20180206,영업/정상
417,빵빵노래타운,전남,여수시,20180206,영업/정상
418,Busam+,전남,여수시,20180206,영업/정상
419,Busam,전남,여수시,20180206,영업/정상
420,고구려 노래타운,전남,여수시,20180206,영업/정상
421,심쿵 노래밤,서울,은평구,20180205,영업/정상
422,락휴 노래타운 증산CGV점,경남,양산시,20180205,영업/정상
423,거북선베트남노래방,경남,진주시,20180205,영업/정상
424,씽씽가요텔,제주,서귀포시,20180202,영업/정상
425,콜라노래클럽,경기도,화성시,20180201,영업/정상
426,썸노래밤,서울,은평구,20180201,영업/정상
427,베를린,부산,해운대구,20180131,영업/정상
428,황진이노래빠,경기도,양평군,20180130,영업/정상
429,초대,전남,광양시,20180129,영업/정상
430,더킹S,전남,광양시,20180129,영업/정상
431,설레임노래타운,경기도,김포시,20180126,영업/정상
432,블라썸유흥주점,대구,중구,20180126,영업/정상
433,좋은느낌노래짱,경기도,김포시,20180124,영업/정상
434,반창꼬뮤직뱅크,경기도,김포시,20180124,영업/정상
435,락휴 노래타운 자갈치점,부산,중구,20180124,영업/정상
436,369가요방,제주,서귀포시,20180123,영업/정상
437,리멤버,부산,해운대구,20180123,영업/정상
438,와라(WARA),강원도,인제군,20180122,영업/정상
439,라이브노래빵,서울,강서구,20180119,영업/정상
440,노래클럽,서울,강서구,20180119,영업/정상
441,마릴린 노래크럽,인천,연수구,20180119,영업/정상
442,친절한 금자씨,인천,미추홀구,20180119,영업/정상
443,캔디노래클럽주점,인천,남동구,20180119,영업/정상
444,코모도,충남,천안시,20180119,영업/정상
445,캬바쿠라,충남,천안시,20180119,영업/정상
446,왕의여자,서울,은평구,20180119,영업/정상
447,미샵노래주점,인천,남동구,20180118,영업/정상
448,홀릭가라오케,서울,강서구,20180117,영업/정상
449,뉴스타노래타운,충남,천안시,20180117,영업/정상
450,몰디브 노래장,경기도,의정부시,20180117,영업/정상
451,로데오 노래광장,경기도,화성시,20180116,영업/정상
452,블랙노래빠,서울,강서구,20180116,영업/정상
453,멜론룸소주방,광주광역시,광산구,20180116,영업/정상
454,로스로보스,전북,군산시,20180116,영업/정상
