발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2016,2016080916,주간,화,2,2,충남 천안시
2016,2016081120,야간,목,1,1,강원 춘천시
2016,2016081212,주간,금,1,3,충남 보령시
2016,2016081519,야간,월,1,1,경북 경산시
2016,2016081605,야간,화,1,1,전남 목포시
2016,2016081610,주간,화,1,1,경기 안양시
2016,2016081900,야간,금,1,1,대전 서구
2016,2016081917,주간,금,1,1,대전 동구
2016,2016082600,야간,금,1,1,세종 세종
2016,2016082313,주간,화,1,1,전북 부안군
2016,2016082803,야간,일,1,1,경남 고성군
2016,2016082721,야간,토,1,1,강원 철원군
2016,2016082917,주간,월,1,1,경남 창원시(통합)
2016,2016090907,주간,금,1,1,서울 동대문구
2016,2016091202,야간,월,1,2,충남 보령시
2016,2016091120,야간,일,1,1,충북 충주시
2016,2016090914,주간,금,1,1,서울 중구
2016,2016090802,야간,목,1,1,대전 서구
2016,2016090817,주간,목,1,1,경기 용인시
2016,2016071909,주간,화,1,1,경북 경주시
2016,2016072314,주간,토,1,1,경남 통영시
2016,2016072311,주간,토,1,1,충북 보은군
2016,2016072910,주간,금,1,1,강원 정선군
2016,2016072822,야간,목,1,1,경기 이천시
2016,2016080109,주간,월,1,1,충남 논산시
2016,2016080114,주간,월,1,2,경기 화성시
2016,2016080202,야간,화,1,1,제주 제주시
2016,2016080317,주간,수,1,1,경북 고령군
2016,2016080210,주간,화,1,1,충남 서산시
2016,2016080819,야간,월,1,1,경북 고령군
2016,2016081107,주간,목,2,2,경남 양산시
2016,2016080717,주간,일,1,4,울산 울주군
2016,2016081304,야간,토,1,1,제주 서귀포시
2016,2016081604,야간,화,1,1,경남 창원시(통합)
2016,2016081420,야간,일,1,1,경북 의성군
2016,2016081615,주간,화,1,2,경남 의령군
2016,2016082210,주간,월,1,1,세종 세종
2016,2016081902,야간,금,1,4,인천 옹진군
2016,2016081814,주간,목,1,1,전북 완주군
2016,2016082610,주간,금,1,1,전북 순창군
2016,2016082800,야간,일,1,1,대구 달서구
2016,2016040712,주간,목,1,5,경북 군위군
2016,2016040812,주간,금,1,1,충남 당진시
2016,2016040623,야간,수,1,1,충남 청양군
2016,2016040721,야간,목,1,2,충남 공주시
2016,2016040710,주간,목,1,1,전북 전주시
2016,2016030921,야간,수,1,1,서울 동대문구
2016,2016030919,야간,수,1,1,경기 여주시
2016,2016030910,주간,수,1,1,충북 진천군
2016,2016031417,주간,월,1,1,경기 파주시
2016,2016042604,야간,화,1,1,경북 문경시
2016,2016042804,야간,목,1,1,광주 광산구
2016,2016042616,주간,화,1,2,경기 시흥시
2016,2016042709,주간,수,1,1,서울 노원구
2016,2016050217,주간,월,1,1,경북 영주시
2016,2016043010,주간,토,1,1,경기 김포시
2016,2016041102,야간,월,1,1,경기 용인시
2016,2016041017,주간,일,1,1,부산 사하구
2016,2016041104,야간,월,1,1,경기 용인시
2016,2016040912,주간,토,1,1,충북 제천시
2016,2016040810,주간,금,1,2,경북 김천시
2016,2016041501,야간,금,1,2,충북 음성군
2016,2016041423,야간,목,1,1,인천 남동구
2016,2016041305,야간,수,1,1,경기 성남시
2016,2016041706,주간,일,1,2,경기 성남시
2016,2016041701,야간,일,1,1,서울 동작구
2016,2016041612,주간,토,1,1,충남 아산시
2016,2016042121,야간,목,1,1,전북 군산시
2016,2016042202,야간,금,1,1,부산 연제구
2016,2016041821,야간,월,1,1,전북 완주군
2016,2016042411,주간,일,1,2,충북 충주시
2016,2016042401,야간,일,1,1,경남 창원시(통합)
2016,2016042320,야간,토,1,1,울산 울주군
2016,2016042708,주간,수,1,1,부산 연제구
2016,2016050320,야간,화,2,3,인천 강화군
2016,2016050316,주간,화,1,1,서울 동대문구
2016,2016050313,주간,화,1,1,강원 양구군
2016,2016043023,야간,토,1,1,경기 군포시
2016,2016041120,야간,월,1,1,경기 수원시
2016,2016041011,주간,일,2,4,전남 영암군
2016,2016040820,야간,금,1,1,대구 북구
2016,2016040905,야간,토,1,1,광주 서구
2016,2016041508,주간,금,1,1,경기 광주시
2016,2016061423,야간,화,1,1,경북 경산시
2016,2016061819,야간,토,1,1,경기 화성시
2016,2016062802,야간,화,1,1,전북 익산시
2016,2016062801,야간,화,1,1,경기 의정부시
2016,2016062620,야간,일,1,1,충북 영동군
2016,2016062504,야간,토,1,1,광주 북구
2016,2016070210,주간,토,1,1,부산 동래구
2016,2016070302,야간,일,1,3,대전 중구
2016,2016070608,주간,수,1,2,경기 이천시
2016,2016070615,주간,수,1,1,부산 남구
2016,2016070411,주간,월,1,2,경북 청송군
2016,2016070322,야간,일,1,1,경북 청도군
2016,2016070501,야간,화,1,1,제주 제주시
2016,2016071108,주간,월,1,1,경북 군위군
2016,2016070814,주간,금,1,1,경기 성남시
2016,2016070806,주간,금,1,1,인천 남동구
2016,2016070817,주간,금,1,1,충남 태안군
2016,2016070714,주간,목,1,1,충남 아산시
2016,2016070709,주간,목,1,2,경북 청송군
2016,2016071516,주간,금,1,2,경남 양산시
2016,2016071518,야간,금,1,1,경북 성주군
2016,2016072109,주간,목,1,3,경기 성남시
2016,2016072106,주간,목,1,1,충남 천안시
2016,2016072008,주간,수,1,1,경기 안산시
2016,2016072104,야간,목,1,1,서울 영등포구
2016,2016072116,주간,목,1,2,대구 북구
2016,2016060804,야간,수,1,1,대전 서구
2016,2016060810,주간,수,1,1,경기 여주시
2016,2016060606,주간,월,1,1,전남 여수시
2016,2016060615,주간,월,1,1,전남 영광군
2016,2016061016,주간,금,1,2,충북 충주시
2016,2016061113,주간,토,1,1,충남 부여군
2016,2016061621,야간,목,1,2,경기 의왕시
2016,2016061709,주간,금,1,1,서울 동작구
2016,2016062506,주간,토,1,1,경기 남양주시
2016,2016062400,야간,금,1,1,부산 사하구
2016,2016062405,야간,금,1,1,서울 강남구
2016,2016062821,야간,화,1,1,경북 경주시
2016,2016062509,주간,토,1,1,경남 밀양시
2016,2016070511,주간,화,1,1,경남 함안군
2016,2016070309,주간,일,1,1,경기 동두천시
2016,2016070719,야간,목,1,1,충북 단양군
2016,2016090908,주간,금,1,2,전북 군산시
2016,2016110420,야간,금,1,1,경기 안성시
2016,2016102919,야간,토,2,3,전북 고창군
2016,2016120518,야간,월,1,1,경남 함안군
2016,2016121023,야간,토,1,1,서울 강북구
2016,2016120918,야간,금,1,1,경북 구미시
2016,2016120906,주간,금,1,1,대전 중구
