범죄대분류,범죄중분류,도시,발생수,발생년도
지능범죄,문서  인장,제주,172,2016
지능범죄,유가증권인지,제주,0,2016
지능범죄,사기,제주,"2,116",2016
지능범죄,횡령,제주,717,2016
지능범죄,배임,제주,32,2016
풍속범죄,성풍속범죄,제주,192,2016
풍속범죄,도박범죄,제주,291,2016
특별경제범죄,특별경제범죄,제주,1356,2016
마약범죄,마약범죄,제주,39,2016
보건범죄,보건범죄,제주,114,2016
환경범죄,환경범죄,제주,28,2016
교통범죄,교통범죄,제주,"15,702",2016
노동범죄,노동범죄,제주,11,2016
안보범죄,안보범죄,제주,2,2016
선거범죄,선거범죄,제주,17,2016
병역범죄,병역범죄,제주,229,2016
기타범죄,기타범죄,제주,"4,745",2016
강력범죄,살인기수,경기 고양,6,2016
강력범죄,살인미수등,경기 고양,5,2016
강력범죄,강도,경기 고양,11,2016
강력범죄,강간,경기 고양,83,2016
강력범죄,유사강간,경기 고양,4,2016
강력범죄,강제추행,경기 고양,247,2016
강력범죄,기타 강간  강제추행등,경기 고양,4,2016
강력범죄,방화,경기 고양,22,2016
절도범죄,절도범죄,경기 고양,"2,606",2016
폭력범죄,상해,경기 고양,555,2016
폭력범죄,폭행,경기 고양,"2,685",2016
폭력범죄,체포  감금,경기 고양,19,2016
폭력범죄,협박,경기 고양,271,2016
폭력범죄,약취  유인,경기 고양,4,2016
폭력범죄,폭력행위등,경기 고양,195,2016
폭력범죄,공갈,경기 고양,46,2016
폭력범죄,손괴,경기 고양,894,2016
지능범죄,직무유기,경기 고양,7,2016
지능범죄,직권남용,경기 고양,9,2016
지능범죄,증수뢰,경기 고양,3,2016
지능범죄,통화,경기 고양,36,2016
지능범죄,문서  인장,경기 고양,198,2016
지능범죄,유가증권인지,경기 고양,3,2016
지능범죄,사기,경기 고양,"3,795",2016
지능범죄,횡령,경기 고양,"1,185",2016
지능범죄,배임,경기 고양,71,2016
풍속범죄,성풍속범죄,경기 고양,223,2016
풍속범죄,도박범죄,경기 고양,128,2016
특별경제범죄,특별경제범죄,경기 고양,"1,010",2016
마약범죄,마약범죄,경기 고양,92,2016
보건범죄,보건범죄,경기 고양,214,2016
환경범죄,환경범죄,경기 고양,41,2016
교통범죄,교통범죄,경기 고양,"12,280",2016
노동범죄,노동범죄,경기 고양,47,2016
안보범죄,안보범죄,경기 고양,2,2016
선거범죄,선거범죄,경기 고양,10,2016
병역범죄,병역범죄,경기 고양,347,2016
기타범죄,기타범죄,경기 고양,"4,025",2016
강력범죄,살인기수,경남 진주,2,2016
강력범죄,살인미수등,경남 진주,3,2016
강력범죄,강도,경남 진주,6,2016
강력범죄,강간,경남 진주,32,2016
강력범죄,유사강간,경남 진주,1,2016
강력범죄,강제추행,경남 진주,74,2016
강력범죄,기타 강간  강제추행등,경남 진주,3,2016
강력범죄,방화,경남 진주,6,2016
절도범죄,절도범죄,경남 진주,"1,700",2016
폭력범죄,상해,경남 진주,395,2016
폭력범죄,폭행,경남 진주,808,2016
폭력범죄,체포  감금,경남 진주,7,2016
폭력범죄,협박,경남 진주,93,2016
폭력범죄,약취  유인,경남 진주,0,2016
폭력범죄,폭력행위등,경남 진주,56,2016
폭력범죄,공갈,경남 진주,44,2016
폭력범죄,손괴,경남 진주,349,2016
지능범죄,직무유기,경남 진주,2,2016
지능범죄,직권남용,경남 진주,3,2016
지능범죄,증수뢰,경남 진주,4,2016
지능범죄,통화,경남 진주,1,2016
지능범죄,문서  인장,경남 진주,77,2016
지능범죄,유가증권인지,경남 진주,1,2016
지능범죄,사기,경남 진주,"1,312",2016
지능범죄,횡령,경남 진주,127,2016
