발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2014,2014030116,주간,토,1,1,경기,가평군
2014,2014031011,주간,월,1,2,전남,해남군
2014,2014031206,주간,수,1,1,광주,북구
2014,2014031406,주간,금,1,2,경남,남해군
2014,2014030511,주간,수,1,1,경기,동두천시
2014,2014030418,야간,화,1,1,경남,거창군
2014,2014030622,야간,목,1,1,강원,고성군
2014,2014031516,주간,토,1,1,경북,울진군
2014,2014031219,야간,수,1,1,제주,제주시
2014,2014031105,야간,화,1,1,전북,전주시
2014,2014032400,야간,월,1,1,인천,중구
2014,2014032020,야간,목,1,2,광주,서구
2014,2014022014,주간,목,1,1,서울,송파구
2014,2014030820,야간,토,1,2,충남,아산시
2014,2014030708,주간,금,1,1,경기,안산시
2014,2014032022,야간,목,1,1,경남,사천시
2014,2014032020,야간,목,1,1,대구,남구
2014,2014032120,야간,금,1,2,경기,파주시
2014,2014032204,야간,토,1,1,울산,남구
2014,2014032205,야간,토,1,1,경기,고양시
2014,2014032301,야간,일,2,2,경남,진주시
2014,2014030406,주간,화,1,7,경기,평택시
2014,2014031305,야간,목,1,9,광주,남구
2014,2014031207,주간,수,1,3,대구,달서구
2014,2014031418,야간,금,1,6,서울,송파구
2014,2014031414,주간,금,1,1,경남,창원시(통합)
2014,2014031319,야간,목,1,1,경북,성주군
2014,2014031321,야간,목,1,1,경기,여주시
2014,2014031021,야간,월,1,2,전북,익산시
2014,2014031203,야간,수,1,1,충남,천안시
2014,2014031213,주간,수,1,1,경북,성주군
2014,2014031314,주간,목,1,3,전남,영광군
2014,2014030922,야간,일,1,1,인천,남동구
2014,2014030521,야간,수,1,2,충남,공주시
2014,2014030521,야간,수,1,1,전남,화순군
2014,2014030703,야간,금,1,1,경기,안산시
2014,2014072510,주간,금,2,2,경북,포항시
2014,2014040701,야간,월,2,2,인천,남동구
2014,2014090921,야간,화,1,1,대구,북구
2014,2014020902,야간,일,1,1,경기,안산시
2014,2014060308,주간,화,1,1,전남,강진군
2014,2014082317,주간,토,1,1,경기,남양주시
2014,2014070814,주간,화,1,1,울산,중구
2014,2014062710,주간,금,1,2,충남,천안시
2014,2014062718,야간,금,1,1,서울,동작구
2014,2014062816,주간,토,1,1,전남,고흥군
2014,2014070109,주간,화,1,1,경북,경주시
2014,2014070209,주간,수,1,1,인천,서구
2014,2014062923,야간,일,1,1,경기,양주시
2014,2014062917,주간,일,1,5,경북,경산시
2014,2014062908,주간,일,1,1,광주,북구
2014,2014062916,주간,일,1,1,강원,횡성군
2014,2014062802,야간,토,1,1,부산,해운대구
2014,2014062721,야간,금,1,4,경기,고양시
2014,2014041814,주간,금,1,24,경남,진주시
2014,2014041811,주간,금,1,1,대전,대덕구
2014,2014041519,야간,화,1,1,인천,강화군
2014,2014041301,야간,일,1,1,충북,진천군
2014,2014041516,주간,화,1,1,서울,성북구
2014,2014041213,주간,토,1,1,경북,상주시
2014,2014042418,야간,목,1,3,충남,금산군
2014,2014042416,주간,목,1,1,전북,남원시
2014,2014042106,주간,월,1,6,경기,광명시
2014,2014042705,야간,일,1,1,서울,서초구
2014,2014032810,주간,금,1,1,경북,군위군
2014,2014032718,야간,목,1,1,서울,관악구
2014,2014032601,야간,수,1,1,충남,천안시
2014,2014032423,야간,월,1,1,대구,수성구
2014,2014032506,주간,화,1,1,경기,용인시
2014,2014032604,야간,수,1,1,부산,연제구
2014,2014041206,주간,토,1,5,경기,구리시
2014,2014041200,야간,토,1,2,경기,오산시
2014,2014041111,주간,금,1,1,경기,시흥시
2014,2014041119,야간,금,1,1,경남,통영시
2014,2014040721,야간,월,1,1,부산,남구
2014,2014040819,야간,화,1,1,경남,남해군
2014,2014040603,야간,일,1,1,대구,달서구
2014,2014041319,야간,일,1,1,충북,음성군
2014,2014042019,야간,일,1,1,경기,남양주시
2014,2014042819,야간,월,1,1,강원,강릉시
2014,2014042805,야간,월,1,1,강원,원주시
2014,2014042605,야간,토,1,2,경기,광명시
2014,2014050722,야간,수,1,1,서울,송파구
2014,2014031811,주간,화,1,1,경북,상주시
2014,2014032823,야간,금,1,1,충남,서산시
2014,2014032904,야간,토,1,1,충남,천안시
2014,2014033016,주간,일,2,4,경기,이천시
2014,2014040501,야간,토,1,1,경기,안산시
