행정구역별,연도별,연령별,총인구,총인구_남자,총인구_여자,내국인_남자,내국인_여자,총인구_외국인,외국인_남자,외국인_여자,외국인비율
경기 고양,2017,40~44세,85051,40984,44067,40189,43377,1485,795,690,0.0175
경기 고양,2017,45~49세,103541,50343,53198,49583,52428,1530,760,770,0.0148
경기 고양,2017,50~54세,91354,45058,46296,44361,45464,1529,697,832,0.0167
경기 고양,2017,55~59세,83620,42605,41015,42047,40281,1292,558,734,0.0155
경기 고양,2017,60~64세,54817,28091,26726,27575,26155,1087,516,571,0.0198
경기 고양,2017,65~69세,33984,15849,18135,15629,17867,488,220,268,0.0144
경기 고양,2017,70~74세,29148,12475,16673,12379,16567,202,96,106,0.0069
경기 고양,2017,75~79세,26901,10989,15912,10955,15833,113,34,79,0.0042
경기 고양,2017,80~84세,17401,6388,11013,6372,10967,62,16,46,0.0036
경기 고양,2017,85세이상,11240,3360,7880,3354,7853,33,6,27,0.0029
경기 고양,2017,85~89세,7958,2521,5437,2517,5417,24,4,20,0.003
경기 고양,2017,90~94세,2580,647,1933,645,1927,8,2,6,0.0031
경기 고양,2017,95~99세,620,171,449,171,448,1,0,1,0.0016
경기 고양,2017,100세이상,82,21,61,21,61,0,0,0,0
경기 고양,2017,15세미만,136615,70200,66415,69951,66143,521,249,272,0.0038
경기 고양,2017,15~64세,749813,373543,376270,365592,369118,15103,7951,7152,0.0201
경기 고양,2017,65세이상,118674,49061,69613,48689,69087,898,372,526,0.0076
경기 고양,2017,평균연령,40.6,39.6,41.5,39.6,41.5,0,0,0,0
경기 고양,2017,중위연령,42.2,41.3,43,41.4,43.1,-0.2,-0.1,-0.1,-0.0047
경기 과천,2017,합계,53583,26267,27316,26081,27116,386,186,200,0.0072
경기 과천,2017,0~4세,1824,943,881,940,878,6,3,3,0.0033
경기 과천,2017,5~9세,2434,1249,1185,1248,1182,4,1,3,0.0016
경기 과천,2017,10~14세,2899,1530,1369,1528,1369,2,2,0,0.0007
경기 과천,2017,15~19세,3551,1860,1691,1859,1686,6,1,5,0.0017
경기 과천,2017,20~24세,3583,1884,1699,1867,1678,38,17,21,0.0106
경기 과천,2017,25~29세,3376,1803,1573,1783,1545,48,20,28,0.0142
경기 과천,2017,30~34세,3065,1552,1513,1529,1490,46,23,23,0.015
경기 과천,2017,35~39세,3314,1618,1696,1591,1683,40,27,13,0.0121
경기 과천,2017,40~44세,4019,1877,2142,1856,2129,34,21,13,0.0085
